location,bhk,total_sqft,bath,price
Marrakech,4,1972,3,1055558
Marrakech,1,1206,1,840577
Marrakech,6,2667,3,1136329
Marrakech,4,1761,2,689436
Marrakech,3,2098,3,1074897
Marrakech,1,892,1,434379
Marrakech,3,1739,3,883951
Marrakech,4,2367,2,979171
Marrakech,3,2043,3,952347
Marrakech,3,1736,3,694677
Marrakech,6,3168,3,1758740
Marrakech,1,784,2,436655
Marrakech,3,1572,3,817931
Marrakech,6,3089,3,1540970
Marrakech,4,2217,3,1056966
Marrakech,5,2443,3,1122466
Marrakech,6,2564,3,1243571
Marrakech,3,2210,3,1012780
Marrakech,1,1145,2,786986
Marrakech,4,2069,2,993259
Marrakech,6,2573,4,1443454
Marrakech,2,911,1,627979
Marrakech,6,3287,3,1589251
Marrakech,2,804,1,510572
Marrakech,6,3053,4,1591668
Marrakech,5,3111,4,1675539
Marrakech,6,2466,3,1119997
Marrakech,4,2017,2,920397
Marrakech,3,2083,3,924233
Marrakech,6,2460,4,1247978
Marrakech,6,2519,4,1393927
Marrakech,3,1567,2,783791
Marrakech,1,1226,2,938634
Marrakech,2,1287,1,735309
Marrakech,6,3255,4,1652570
Marrakech,6,3419,3,1450365
Marrakech,6,2605,4,1303017
Marrakech,6,2503,3,1410907
Marrakech,4,1455,2,680077
Marrakech,6,3460,3,1866238
Marrakech,5,3327,3,1819737
Marrakech,4,1478,2,680087
Marrakech,2,986,2,689155
Marrakech,6,2999,4,1256805
Marrakech,5,3225,3,1849975
Marrakech,5,2801,3,1434269
Marrakech,3,1928,3,1000505
Marrakech,6,2736,4,1365403
Marrakech,1,871,1,686508
Marrakech,5,3326,3,1875706
Marrakech,2,1159,1,941484
Marrakech,6,3448,4,1527576
Marrakech,5,3204,4,1490475
Marrakech,4,1540,2,716511
Marrakech,5,2904,3,1359044
Marrakech,6,3084,4,1688079
Marrakech,5,2713,4,1227923
Marrakech,2,1222,2,732514
Marrakech,2,793,2,426000
Marrakech,6,3201,4,1691978
Marrakech,6,3269,4,1583193
Marrakech,3,1945,2,930040
Marrakech,2,920,2,497594
Marrakech,6,2788,4,1156433
Marrakech,1,1046,2,450173
Marrakech,5,2467,3,1269038
Marrakech,6,2739,4,1205859
Marrakech,5,3126,3,1752248
Marrakech,3,1636,3,882604
Marrakech,2,898,2,642159
Marrakech,5,2617,4,1175427
Marrakech,5,2589,3,1192630
Marrakech,6,3033,4,1793935
Marrakech,6,3413,3,1414700
Marrakech,2,1118,2,840288
Marrakech,6,2804,4,1164301
Marrakech,5,2461,3,1238102
Marrakech,3,2305,2,1016313
Marrakech,6,2828,4,1104590
Marrakech,3,1818,2,1070948
Marrakech,4,2130,3,964095
Marrakech,3,2373,2,1071695
Marrakech,3,1769,2,683525
Marrakech,1,1042,1,637021
Marrakech,1,1068,2,537341
Marrakech,4,1484,1,694796
Marrakech,6,2433,3,1237150
Marrakech,5,2805,3,1172459
Marrakech,6,3013,3,1730094
Marrakech,4,2372,3,1042873
Marrakech,4,1880,2,975286
Marrakech,6,3500,3,1738217
Marrakech,5,3032,4,1543579
Marrakech,3,1646,2,832029
Marrakech,5,3032,4,1898303
Marrakech,3,1637,2,846741
Marrakech,6,2742,4,1168419
Marrakech,1,1085,2,524213
Marrakech,5,2626,4,1296336
Tanger,2,852,2,667711
Tanger,3,2355,2,1105887
Tanger,3,1536,3,773774
Tanger,3,1362,1,770136
Tanger,5,2467,4,1177449
Tanger,6,3408,3,1765971
Tanger,2,1044,2,632917
Tanger,2,1123,2,898793
Tanger,3,1837,3,1147732
Tanger,5,2466,3,1333785
Tanger,2,857,1,611398
Tanger,6,2480,3,1342688
Tanger,3,1538,2,802456
Tanger,1,1032,1,651428
Tanger,1,1214,2,820755
Tanger,4,1398,1,911399
Tanger,6,2899,4,1346859
Tanger,5,3147,3,1845198
Tanger,3,1993,3,1052716
Tanger,6,3445,3,1651033
Tanger,5,2837,4,1435050
Tanger,1,1227,1,918036
Tanger,6,3254,4,1534077
Tanger,4,2038,3,1038643
Tanger,5,3421,3,1659670
Tanger,2,1247,2,697926
Tanger,1,1030,2,672463
Tanger,5,3265,4,1553542
Tanger,6,2976,4,1440050
Tanger,3,2004,3,1145241
Tanger,3,2331,3,1148427
Tanger,2,1131,1,733170
Tanger,6,2908,3,1342897
Tanger,4,2295,2,1041516
Tanger,1,779,2,670095
Tanger,6,2536,4,1321765
Tanger,4,1499,1,825377
Tanger,3,1558,2,682568
Tanger,4,1815,3,1091964
Tanger,3,1724,2,831588
Tanger,1,855,1,600384
Tanger,1,1266,2,691744
Tanger,3,1786,2,754675
Tanger,5,3341,3,1649679
Tanger,3,2279,3,1171802
Tanger,5,2647,4,1207242
Tanger,1,806,1,524439
Tanger,5,3193,4,1606044
Tanger,5,3375,4,1688133
Tanger,6,3484,3,1665384
Tanger,1,1076,2,592543
Tanger,5,2596,3,1155973
Tanger,3,1369,1,915408
Tanger,4,1618,2,777645
Tanger,3,2125,3,1195526
Tanger,2,918,1,501282
Tanger,1,833,2,548954
Tanger,5,2483,4,1259643
Tanger,5,3327,4,1778014
Tanger,4,2141,3,1132290
Tanger,6,2608,3,1215084
Tanger,2,979,1,437705
Tanger,3,1322,1,859245
Tanger,1,1147,1,687151
Tanger,5,3292,3,1418334
Tanger,5,2648,4,1442202
Tanger,6,2919,4,1448476
Tanger,2,862,2,645800
Tanger,6,2439,3,1411497
Tanger,3,1394,1,875704
Tanger,6,3067,4,1676188
Tanger,5,3291,3,1564468
Tanger,4,2189,2,947896
Tanger,3,2267,2,984226
Tanger,6,2753,4,1329879
Tanger,5,2788,4,1352128
Tanger,6,2974,3,1135860
Tanger,5,3393,4,1896866
Tanger,3,1882,3,963900
Tanger,4,1699,2,924822
Tanger,2,1090,1,426413
Tanger,5,2821,3,1113253
Tanger,1,803,2,414082
Tanger,3,2004,3,1141008
Tanger,2,1008,1,698293
Tanger,3,2230,3,1024695
Tanger,3,2387,3,922052
Tanger,6,3429,4,1535234
Tanger,5,2444,4,1413504
Tanger,3,1509,2,720830
Tanger,6,2583,4,1363830
Tanger,4,1611,2,707368
Tanger,1,980,1,624929
Tanger,5,3348,3,1813877
Tanger,6,2637,3,1226150
Tanger,2,918,2,486334
Tanger,3,1410,2,885761
Tanger,5,3466,4,1485789
Tanger,3,1822,2,935499
Tanger,5,3099,3,1650820
Kentitra,1,1097,1,655084
Kentitra,4,1601,3,705898
Kentitra,4,1723,2,832429
Kentitra,5,3251,3,1486311
Kentitra,5,3242,4,1567634
Kentitra,4,2201,2,1189486
Kentitra,6,3484,3,1832320
Kentitra,3,1694,2,852057
Kentitra,1,1207,2,726966
Kentitra,4,2150,2,1004709
Kentitra,6,3065,3,1525957
Kentitra,6,2777,3,1184011
Kentitra,2,930,2,687917
Kentitra,4,1841,2,1185514
Kentitra,5,3471,4,1417032
Kentitra,5,2809,3,1165641
Kentitra,4,2097,2,1156257
Kentitra,6,2454,4,1327475
Kentitra,4,2068,2,924032
Kentitra,4,2034,3,1059187
Kentitra,6,2813,4,1307058
Kentitra,4,1599,3,840277
Kentitra,6,3351,3,1441505
Kentitra,4,1646,3,863021
Kentitra,4,2319,2,985355
Kentitra,4,1315,1,770713
Kentitra,1,1129,1,810284
Kentitra,5,3219,3,1864127
Kentitra,4,1871,3,1077838
Kentitra,4,2004,2,1146357
Kentitra,5,3086,3,1618812
Kentitra,6,2459,3,1143544
Kentitra,5,3199,4,1481091
Kentitra,5,2423,3,1260526
Kentitra,5,2965,4,1127950
Kentitra,6,2747,4,1106338
Kentitra,4,1881,3,1066798
Kentitra,6,3320,4,1758132
Kentitra,2,761,2,403540
Kentitra,3,1433,1,837284
Kentitra,5,2643,3,1195776
Kentitra,4,1843,2,1167650
Kentitra,2,1050,1,679211
Kentitra,1,1022,2,404093
Kentitra,3,1657,2,763532
Kentitra,4,2329,2,932895
Kentitra,6,3237,4,1562596
Kentitra,6,3127,4,1739878
Kentitra,6,3202,4,1705303
Kentitra,5,2606,3,1356566
Kentitra,5,3319,4,1871658
Kentitra,5,2789,4,1393074
Kentitra,5,2769,4,1214336
